location_name,count,max temp,mean temp,min temp,snow on grnd (cm),total precip (mm),total rain (mm),total snow (cm),date
ALEX,0,-14.0,-18.2,-22.3,27.0,0.3,0.0,0.3,2015-02-20
ADAWE BIKE,968,29.5,23.8,18.0,0.0,2.8,2.8,0.0,2016-08-28
COBY,10,-3.0,-9.3,-15.6,1.0,7.0,0.0,9.5,2011-12-25
SOMO,122,14.0,8.8,3.5,0.0,34.4,34.4,0.0,2017-05-01
OYNG,228,15.2,9.4,3.5,0.0,0.0,0.0,0.0,2015-04-27
COBY,95,0.2,-2.9,-6.0,0.0,1.0,1.0,0.0,2010-11-21
COBY,102,1.9,-6.3,-14.5,38.0,2.3,0.0,2.5,2014-03-27
SOMO,73,6.5,2.9,-0.8,35.0,0.6,0.6,0.0,2013-01-12
ORPY,1219,18.2,10.9,3.6,0.0,0.0,0.0,0.0,2012-09-16
ALEX,4,7.5,-1.0,-9.5,47.0,0.0,0.0,0.0,2013-03-09
COBY,36,-1.7,-5.8,-9.8,17.0,0.0,0.0,0.0,2011-03-02
ORPY,2957,19.5,13.5,7.5,0.0,3.6,3.6,0.0,2016-06-10
SOMO,606,6.1,2.1,-1.9,0.0,0.0,0.0,0.0,2013-10-24
OGLD,66,7.0,-2.3,-11.5,18.0,0.0,0.0,0.0,2017-03-19
ORPY,1520,12.0,7.5,3.0,0.0,0.0,0.0,0.0,2017-10-26
COBY,1706,25.3,21.6,17.8,0.0,0.0,0.0,0.0,2012-07-08
ADAWE BIKE,302,0.5,-1.3,-3.0,5.0,0.0,0.0,0.0,2016-11-22
LLYN,18,-6.5,-15.4,-24.3,10.0,3.9,0.0,3.9,2016-02-15
ALEX,431,28.0,17.5,7.0,0.0,0.0,0.0,0.0,2018-10-09
ALEX,2033,28.3,20.1,11.9,0.0,0.0,0.0,0.0,2012-05-19
ORPY,2637,22.2,15.7,9.1,0.0,0.4,0.4,0.0,2013-10-03
COBY,19,-6.0,-7.4,-8.8,13.0,0.8,0.0,1.6,2011-01-29
ALEX,2527,21.2,17.5,13.8,0.0,0.0,0.0,0.0,2015-05-16
LMET,597,6.5,3.4,0.3,0.0,0.0,0.0,0.0,2015-12-04
COBY,547,10.2,3.6,-3.1,0.0,0.0,0.0,0.0,2012-11-21
ADAWE PED,1942,25.5,19.3,13.0,0.0,0.0,0.0,0.0,2016-05-22
COBY,2044,17.0,12.8,8.5,0.0,0.0,0.0,0.0,2018-09-08
PORTAGE,744,25.3,21.1,16.9,0.0,0.0,0.0,0.0,2015-08-31
ADAWE BIKE,1532,19.0,13.3,7.5,0.0,0.0,0.0,0.0,2016-06-09
ORPY,359,11.0,8.5,6.0,0.0,0.0,0.0,0.0,2011-11-26
CRTZ,42,3.0,-4.0,-11.0,32.0,16.0,2.0,14.0,2017-02-07
LMET,459,18.5,17.3,16.0,0.0,45.2,45.2,0.0,2016-07-09
SOMO,12,7.6,1.9,-3.9,35.0,0.0,0.0,0.0,2015-03-10
COBY,564,13.6,5.8,-2.1,0.0,2.7,2.7,0.0,2012-04-30
OGLD,0,-5.8,-14.3,-22.8,45.0,0.0,0.0,0.0,2014-03-06
COBY,61,-7.5,-16.4,-25.3,21.0,0.0,0.0,0.0,2012-01-16
ALEX,1332,12.2,9.4,6.5,0.0,0.4,0.4,0.0,2013-05-12
ADAWE BIKE,2178,27.0,21.0,15.0,0.0,0.0,0.0,0.0,2018-09-01
LLYN,41,4.6,0.6,-3.4,34.0,0.0,0.0,0.0,2013-02-25
COBY,82,1.5,-0.3,-2.0,12.0,0.0,0.0,0.0,2018-03-15
SOMO,28,,,,,,,,2018-02-19
OYNG,22,-13.2,-18.9,-24.5,14.0,0.0,0.0,0.0,2015-01-31
COBY,108,1.7,-0.9,-3.4,5.0,0.4,0.0,0.4,2011-11-23
COBY,35,-7.7,-12.1,-16.5,9.0,0.0,0.0,0.0,2010-02-06
LMET,2747,23.0,17.8,12.5,0.0,0.0,0.0,0.0,2014-06-21
OBVW,278,17.8,14.6,11.3,0.0,0.4,0.4,0.0,2015-10-13
OYNG,383,21.6,13.8,5.9,0.0,0.0,0.0,0.0,2015-04-29
OBVW,3,-4.5,-8.4,-12.3,25.0,0.0,0.0,0.0,2015-02-10
SOMO,890,25.5,17.3,9.0,0.0,0.0,0.0,0.0,2017-09-12
LBAY,60,-1.6,-4.9,-8.1,2.0,0.0,0.0,0.0,2012-11-26
ALEX,2341,20.1,17.0,13.8,0.0,8.3,8.3,0.0,2015-05-10
LMET,269,-5.0,-8.5,-12.0,24.0,0.0,0.0,0.0,2017-02-01
LLYN,964,26.5,20.5,14.5,0.0,6.6,6.6,0.0,2016-06-04
ORPY,969,14.3,11.7,9.0,0.0,0.4,0.4,0.0,2014-10-18
CRTZ,2189,22.8,17.7,12.5,0.0,3.1,3.1,0.0,2015-06-29
LLYN,23,-11.8,-13.1,-14.3,18.0,0.0,0.0,0.0,2016-01-18
COBY,1276,18.8,14.2,9.6,0.0,0.0,0.0,0.0,2010-06-07
ALEX,796,19.7,15.3,10.8,0.0,0.0,0.0,0.0,2013-06-03
SOMO,13,-8.8,-12.6,-16.4,23.0,0.0,0.0,0.0,2012-02-12
ADAWE BIKE,2603,29.0,21.5,14.0,0.0,0.0,0.0,0.0,2017-08-01
LLYN,90,2.3,-3.1,-8.4,34.0,0.0,0.0,0.0,2015-03-04
COBY,644,0.5,-0.7,-1.8,0.0,0.0,0.0,0.0,2012-11-24
ADAWE PED,1964,12.0,10.0,8.0,0.0,0.4,0.4,0.0,2018-10-11
LMET,53,-7.0,-8.1,-9.2,21.0,0.0,0.0,0.0,2012-12-25
LMET,2525,29.0,24.1,19.2,0.0,34.2,34.2,0.0,2014-09-05
LMET,2710,20.7,15.9,11.0,0.0,0.0,0.0,0.0,2015-07-15
CRTZ,904,28.8,23.2,17.6,0.0,4.5,4.5,0.0,2014-05-15
SOMO,126,2.0,0.0,-2.0,0.0,6.0,0.0,6.0,2016-12-04
ALEX,448,9.5,7.3,5.0,0.0,0.0,0.0,0.0,2016-05-15
COBY,559,-1.3,-2.7,-4.0,0.0,0.0,0.0,0.0,2015-11-28
ORPY,852,7.3,3.9,0.4,0.0,0.0,0.0,0.0,2011-04-18
COBY,2483,28.0,22.3,16.5,0.0,0.0,0.0,0.0,2017-07-21
ALEX,1690,26.4,17.2,8.0,0.0,0.5,0.5,0.0,2014-05-25
COBY,134,-0.6,-1.4,-2.2,7.0,0.0,0.0,0.0,2014-12-18
ORPY,0,6.5,0.0,-6.5,29.0,3.2,3.2,0.0,2014-01-11
ORPY,161,0.5,-0.8,-2.0,1.0,7.4,0.0,8.4,2014-11-17
LMET,507,17.0,13.5,10.0,0.0,2.6,2.6,0.0,2016-06-11
LMET,2085,27.1,23.8,20.5,0.0,1.1,1.1,0.0,2014-08-31
ALEX,289,5.5,2.3,-1.0,0.0,0.0,0.0,0.0,2018-10-29
LMET,1677,5.5,2.7,-0.1,0.0,0.8,0.8,0.0,2013-10-25
OYNG,916,32.5,27.8,23.0,0.0,0.0,0.0,0.0,2016-07-22
CRTZ,184,11.7,5.5,-0.7,0.0,0.0,0.0,0.0,2014-04-24
COBY,741,20.0,16.5,13.0,0.0,0.0,0.0,0.0,2018-05-15
ALEX,25,9.0,-0.3,-9.5,56.0,0.0,0.0,0.0,2017-02-18
LBAY,773,24.9,20.0,15.0,0.0,0.0,0.0,0.0,2012-05-26
ALEX,23,-1.0,-5.5,-10.0,19.0,6.8,1.0,5.8,2017-01-17
SOMO,513,21.3,19.6,17.8,0.0,0.0,0.0,0.0,2012-07-26
ALEX,2403,23.4,20.7,18.0,0.0,0.0,0.0,0.0,2014-08-27
OYNG,1,-9.0,-12.2,-15.4,36.0,0.0,0.0,0.0,2014-02-25
CRTZ,2407,29.0,21.0,13.0,0.0,0.0,0.0,0.0,2016-08-19
LMET,1691,14.0,5.8,-2.5,0.0,0.0,0.0,0.0,2016-11-07
LMET,74,8.8,3.1,-2.6,38.0,0.0,0.0,0.0,2014-03-31
SOMO,4,-4.0,-7.3,-10.5,32.0,0.0,0.0,0.0,2018-02-12
ORPY,2383,34.5,26.8,19.0,0.0,2.2,2.2,0.0,2018-07-16
ORPY,138,12.5,6.4,0.3,0.0,10.8,9.5,1.3,2011-04-04
OBVW,855,28.0,20.0,12.0,0.0,0.0,0.0,0.0,2018-06-20
LLYN,95,-14.4,-18.7,-23.0,28.0,0.0,0.0,0.0,2013-01-25
ORPY,3028,25.0,20.5,16.0,0.0,0.0,0.0,0.0,2016-07-29
ADAWE BIKE,1739,17.0,10.3,3.5,0.0,1.2,1.2,0.0,2016-09-26
ORPY,2195,9.4,7.2,4.9,0.0,2.5,2.5,0.0,2015-10-09
ALEX,4,9.0,2.3,-4.5,11.0,0.0,0.0,0.0,2018-02-27
CRTZ,496,5.5,1.8,-2.0,0.0,0.4,0.0,0.4,2014-11-08
ORPY,2624,27.5,21.5,15.5,0.0,0.0,0.0,0.0,2017-09-19
ALEX,216,9.5,6.0,2.5,0.0,0.0,0.0,0.0,2015-12-15
SOMO,251,28.5,23.9,19.2,0.0,3.8,3.8,0.0,2013-06-25
OGLD,1294,27.0,16.8,6.5,0.0,2.6,2.6,0.0,2018-05-09
ORPY,1995,19.0,15.5,12.0,0.0,3.4,3.4,0.0,2018-05-22
ADAWE BIKE,524,6.5,3.8,1.0,2.0,0.0,0.0,0.0,2018-03-28
LMET,336,7.5,-1.0,-9.5,47.0,0.0,0.0,0.0,2013-03-09
ALEX,1040,20.4,12.4,4.3,0.0,0.0,0.0,0.0,2011-05-01
ADAWE PED,1550,27.5,20.5,13.5,0.0,0.0,0.0,0.0,2016-07-03
COBY,15,1.0,-2.0,-5.0,9.0,0.0,0.0,0.0,2012-01-02
ALEX,4,-12.0,-14.8,-17.5,20.0,0.4,0.0,0.8,2013-02-02
LBAY,23,-16.3,-20.2,-24.0,22.0,0.0,0.0,0.0,2012-01-14
LMET,570,17.5,14.1,10.6,0.0,11.8,11.8,0.0,2014-10-07
CRTZ,2276,20.0,18.8,17.5,0.0,5.0,5.0,0.0,2013-06-22
LBAY,673,12.5,11.5,10.4,0.0,0.0,0.0,0.0,2013-09-13
LLYN,35,1.0,-4.8,-10.5,10.0,0.8,0.8,0.0,2012-01-07
ORPY,2026,19.0,14.3,9.5,0.0,5.8,5.8,0.0,2018-10-03
COBY,63,-1.6,-3.8,-5.9,0.0,0.2,0.0,0.3,2010-12-04
OGLD,533,20.7,17.1,13.5,0.0,0.3,0.3,0.0,2013-09-03
OYNG,0,-4.7,-10.0,-15.2,37.0,0.0,0.0,0.0,2014-02-04
LMET,282,5.3,3.5,1.6,0.0,0.2,0.2,0.0,2012-11-13
COBY,561,8.0,2.8,-2.5,0.0,0.0,0.0,0.0,2012-04-28
SOMO,104,7.0,0.0,-7.0,4.0,0.0,0.0,0.0,2018-03-27
SOMO,830,13.1,7.3,1.5,0.0,10.2,10.2,0.0,2015-10-08
LMET,44,-2.5,-10.5,-18.5,18.0,8.6,0.0,8.6,2016-12-31
SOMO,374,30.0,20.9,11.7,0.0,12.0,12.0,0.0,2012-05-29
COBY,1503,21.5,20.2,18.8,0.0,4.4,4.4,0.0,2012-06-12
ORPY,657,15.0,7.1,-0.9,0.0,0.0,0.0,0.0,2013-05-14
CRTZ,988,24.6,17.0,9.3,0.0,0.0,0.0,0.0,2014-09-08
ADAWE PED,1556,25.0,20.8,16.5,0.0,0.0,0.0,0.0,2016-06-29
COBY,0,-5.7,-10.5,-15.3,9.0,0.0,0.0,0.0,2010-02-04
CRTZ,518,17.5,15.3,13.0,0.0,1.8,1.8,0.0,2014-10-17
COBY,42,-6.2,-7.8,-9.4,3.0,0.0,0.0,0.0,2011-01-12
OBVW,965,23.0,19.0,15.0,0.0,0.0,0.0,0.0,2017-06-09
COBY,1715,17.0,12.0,7.0,0.0,0.0,0.0,0.0,2017-09-01
COBY,694,2.5,0.8,-1.0,0.0,0.0,0.0,0.0,2017-11-14
LMET,279,14.9,9.2,3.5,0.0,0.0,0.0,0.0,2015-11-03
ORPY,0,-6.0,-13.3,-20.5,17.0,0.0,0.0,0.0,2017-03-05
ALEX,1780,32.5,25.3,18.0,0.0,0.0,0.0,0.0,2016-05-29
OGLD,38,0.5,-1.8,-4.0,23.0,24.2,17.2,7.0,2017-01-03
ORPY,253,18.9,12.4,5.8,0.0,2.4,2.4,0.0,2014-09-15
LBAY,157,14.1,7.3,0.5,0.0,3.6,3.6,0.0,2013-10-21
LMET,310,0.7,-5.1,-10.8,7.0,2.5,0.0,4.0,2016-01-28
CRTZ,2073,33.5,25.8,18.0,0.0,0.0,0.0,0.0,2016-08-04
OBVW,178,14.0,7.8,1.5,0.0,7.8,7.8,0.0,2013-11-17
OBVW,4,-2.0,-3.5,-5.0,15.0,0.0,0.0,0.0,2017-12-20
COBY,0,7.3,4.2,1.0,34.0,0.0,0.0,0.0,2014-04-02
