max temp,mean temp,min temp,snow on grnd (cm),total precip (mm),total rain (mm),total snow (cm),total count,year,day
-14.0,-18.2,-22.3,27.0,0.3,0.0,0.3,0,5,51
29.5,23.8,18.0,0.0,2.8,2.8,0.0,1,6,241
-3.0,-9.3,-15.6,1.0,7.0,0.0,9.5,0,1,359
14.0,8.8,3.5,0.0,34.4,34.4,0.0,1,7,121
15.2,9.4,3.5,0.0,0.0,0.0,0.0,1,5,117
0.2,-2.9,-6.0,0.0,1.0,1.0,0.0,0,0,325
1.9,-6.3,-14.5,38.0,2.3,0.0,2.5,0,4,86
6.5,2.9,-0.8,35.0,0.6,0.6,0.0,0,3,12
18.2,10.9,3.6,0.0,0.0,0.0,0.0,1,2,260
7.5,-1.0,-9.5,47.0,0.0,0.0,0.0,0,3,68
-1.7,-5.8,-9.8,17.0,0.0,0.0,0.0,0,1,61
19.5,13.5,7.5,0.0,3.6,3.6,0.0,2,6,162
6.1,2.1,-1.9,0.0,0.0,0.0,0.0,2,3,297
7.0,-2.3,-11.5,18.0,0.0,0.0,0.0,1,7,78
12.0,7.5,3.0,0.0,0.0,0.0,0.0,1,7,299
25.3,21.6,17.8,0.0,0.0,0.0,0.0,1,2,190
0.5,-1.3,-3.0,5.0,0.0,0.0,0.0,1,6,327
-6.5,-15.4,-24.3,10.0,3.9,0.0,3.9,0,6,46
28.0,17.5,7.0,0.0,0.0,0.0,0.0,1,8,282
28.3,20.1,11.9,0.0,0.0,0.0,0.0,2,2,140
22.2,15.7,9.1,0.0,0.4,0.4,0.0,2,3,276
-6.0,-7.4,-8.8,13.0,0.8,0.0,1.6,0,1,29
21.2,17.5,13.8,0.0,0.0,0.0,0.0,2,5,136
6.5,3.4,0.3,0.0,0.0,0.0,0.0,1,5,338
10.2,3.6,-3.1,0.0,0.0,0.0,0.0,1,2,326
25.5,19.3,13.0,0.0,0.0,0.0,0.0,2,6,143
17.0,12.8,8.5,0.0,0.0,0.0,0.0,2,8,251
25.3,21.1,16.9,0.0,0.0,0.0,0.0,1,5,243
19.0,13.3,7.5,0.0,0.0,0.0,0.0,2,6,161
11.0,8.5,6.0,0.0,0.0,0.0,0.0,0,1,330
3.0,-4.0,-11.0,32.0,16.0,2.0,14.0,0,7,38
18.5,17.3,16.0,0.0,45.2,45.2,0.0,1,6,191
7.6,1.9,-3.9,35.0,0.0,0.0,0.0,0,5,69
13.6,5.8,-2.1,0.0,2.7,2.7,0.0,1,2,121
